Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-22T20:24:55,NEW,2013,04/24/2026 11:00 AM,"4 PORTOFINO DR 706 PENSACOLA BEACH, FL- 32561","$575,000.00","$386,700.00","$575,000.00",282S261000486003
2026-04-22T20:24:55,NEW,2025,,,$0.00,,$0.00,3074196
2026-04-22T20:24:55,NEW,2018,05/05/2026 11:00 AM,"8710 N DORIS AVE PENSACOLA, FL- 32534","$83,597.86","$120,292.00","$83,597.86",111S301901017016
2026-04-22T20:24:55,NEW,2023,,,$0.00,,$0.00,3075282
2026-04-22T20:24:55,NEW,2024,,,$0.00,,$0.00,3063444
2026-04-22T20:24:55,NEW,2019,05/19/2026 11:00 AM,"8875 UNTREINER AVE PENSACOLA, FL- 32534","$185,863.03","$350,990.00","$185,863.03",101S301101160008
2026-04-22T20:24:55,NEW,2021,07/21/2026 11:00 AM,,$0.00,,$0.00,3068307
2026-04-22T20:25:40,NEW,2025,,"6154 FOREST PINES DR PENSACOLA, FL- 32526","$179,294.50","$169,937.00",Hidden,391S305100009002
2026-04-22T20:25:40,NEW,2025,,"13861 RED DRUM CT PERDIDO KEY, FL- 32507","$589,058.12","$438,129.00","$589,058.12",143S320200023002
2026-04-22T20:25:40,NEW,2023,05/05/2026 11:00 AM,"8833 FOWLER AVE PENSACOLA, FL- 32534","$371,110.37","$337,139.00","$371,110.37",101S301101090002
2026-04-22T20:25:40,NEW,2024,05/05/2026 11:00 AM,"2960 ENGLISH OAK CIR PENSACOLA, FL- 32526","$68,195.63","$130,683.00","$68,195.63",102S313000003008
2026-04-22T20:25:40,NEW,2025,05/05/2026 11:00 AM,"1118 N 48TH AVE PENSACOLA, FL- 32506","$88,341.25","$159,877.00","$88,341.25",342S301172340003
2026-04-22T20:25:40,NEW,2025,,"145 POLO TERRACE PENSACOLA, FL- 32534","$300,063.43","$271,374.00","$300,063.43",111S301102012003
2026-04-22T20:25:40,NEW,2025,,"820 E JOHNSON AVE PENSACOLA, FL- 32514","$245,582.20","$214,449.00","$245,582.20",131S301201102004
2026-04-22T20:25:40,NEW,2024,05/12/2026 11:00 AM,"7424 STAGECOACH RD PENSACOLA, FL- 32526","$376,129.98","$292,633.00","$376,129.98",211S311104003001
2026-04-22T20:25:40,NEW,2025,,"126 MINTZ LN CANTONMENT, FL- 32533","$190,358.11","$123,262.00","$190,358.11",101N314101130001
2026-04-22T20:25:40,NEW,2023,,"7469 DECK LN PENSACOLA, FL- 32526","$215,264.94","$295,810.00","$215,264.94",191S311103006001
2026-04-22T20:25:40,NEW,2025,05/14/2026 11:00 AM,"6613 HAMPTON RD PENSACOLA, FL- 32505","$170,978.04","$126,294.00","$170,978.04",261S305101006002
2026-04-22T20:25:40,NEW,2025,,"4239 SPANISH TRL PENSACOLA, FL- 32504","$198,335.93","$247,917.00","$198,335.93",131S292100003002
2026-04-22T20:25:40,NEW,2024,05/19/2026 11:00 AM,,$0.00,,$0.00,3075632
2026-04-22T20:25:40,NEW,2025,,"110 FRISCO RD PERDIDO KEY, FL- 32507","$91,801.95","$97,582.00","$91,801.95",372S301000058001
2026-04-22T20:25:40,NEW,2025,05/20/2026 11:00 AM,,$0.00,,$0.00,3075208
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3074685
2026-04-22T20:25:40,NEW,2023,05/22/2026 11:00 AM,,$0.00,,$0.00,3074968
2026-04-22T20:25:40,NEW,2024,,,$0.00,,$0.00,3072172
2026-04-22T20:25:40,NEW,2025,05/26/2026 11:00 AM,,$0.00,,$0.00,3074086
2026-04-22T20:25:40,NEW,2025,05/26/2026 11:00 AM,,$0.00,,$0.00,3076636
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3073368
2026-04-22T20:25:40,NEW,2023,05/27/2026 11:00 AM,,$0.00,,$0.00,3061479
2026-04-22T20:25:40,NEW,2025,05/27/2026 11:00 AM,,$0.00,,$0.00,3069821
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3066994
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3069737
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3064387
2026-04-22T20:25:40,NEW,2025,06/09/2026 11:00 AM,,$0.00,,$0.00,3072572
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3073948
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3065479
2026-04-22T20:25:40,NEW,2025,06/17/2026 11:00 AM,,$0.00,,$0.00,3066746
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3067252
2026-04-22T20:25:40,NEW,2025,06/19/2026 11:00 AM,,$0.00,,$0.00,3075955
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3075884
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3070628
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3063490
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3075695
2026-04-22T20:25:40,NEW,2025,,,$0.00,,$0.00,3070798
2026-04-22T22:32:47,NEW,2025 CA 001246,04/24/2026 11:00 AM,"6154 FOREST PINES DR PENSACOLA, FL- 32526","$179,294.50","$169,937.00",Hidden,391S305100009002
2026-04-22T22:32:47,NEW,2025 CA 001040,05/01/2026 11:00 AM,"13861 RED DRUM CT PERDIDO KEY, FL- 32507","$589,058.12","$438,129.00","$589,058.12",143S320200023002
2026-04-22T22:32:47,NEW,2025 CA 001601,05/05/2026 11:00 AM,"145 POLO TERRACE PENSACOLA, FL- 32534","$300,063.43","$271,374.00","$300,063.43",111S301102012003
2026-04-22T22:32:47,NEW,2025 CA 001410,05/08/2026 11:00 AM,"820 E JOHNSON AVE PENSACOLA, FL- 32514","$245,582.20","$214,449.00","$245,582.20",131S301201102004
2026-04-22T22:32:47,NEW,2025 CA 001053,05/12/2026 11:00 AM,"126 MINTZ LN CANTONMENT, FL- 32533","$190,358.11","$123,262.00","$190,358.11",101N314101130001
2026-04-22T22:32:47,NEW,2023 CA 003354,05/13/2026 11:00 AM,"7469 DECK LN PENSACOLA, FL- 32526","$215,264.94","$295,810.00","$215,264.94",191S311103006001
2026-04-22T22:32:47,NEW,2025 CA 001061,05/14/2026 11:00 AM,"4239 SPANISH TRL PENSACOLA, FL- 32504","$198,335.93","$247,917.00","$198,335.93",131S292100003002
2026-04-22T22:32:47,NEW,2025 CA 000968,05/19/2026 11:00 AM,"110 FRISCO RD PERDIDO KEY, FL- 32507","$91,801.95","$97,582.00","$91,801.95",372S301000058001
2026-04-22T22:32:47,CLOSED,2025,,"6154 FOREST PINES DR PENSACOLA, FL- 32526","$179,294.50","$169,937.00",Hidden,391S305100009002
2026-04-22T22:32:47,CLOSED,2025,,"13861 RED DRUM CT PERDIDO KEY, FL- 32507","$589,058.12","$438,129.00","$589,058.12",143S320200023002
2026-04-22T22:32:47,CLOSED,2025,,"145 POLO TERRACE PENSACOLA, FL- 32534","$300,063.43","$271,374.00","$300,063.43",111S301102012003
2026-04-22T22:32:47,CLOSED,2025,,"820 E JOHNSON AVE PENSACOLA, FL- 32514","$245,582.20","$214,449.00","$245,582.20",131S301201102004
2026-04-22T22:32:47,CLOSED,2025,,"126 MINTZ LN CANTONMENT, FL- 32533","$190,358.11","$123,262.00","$190,358.11",101N314101130001
2026-04-22T22:32:47,CLOSED,2023,,"7469 DECK LN PENSACOLA, FL- 32526","$215,264.94","$295,810.00","$215,264.94",191S311103006001
2026-04-22T22:32:47,CLOSED,2025,,"4239 SPANISH TRL PENSACOLA, FL- 32504","$198,335.93","$247,917.00","$198,335.93",131S292100003002
2026-04-22T22:32:47,CLOSED,2024,05/19/2026 11:00 AM,,$0.00,,$0.00,3075632
2026-04-22T22:32:47,CLOSED,2025,,"110 FRISCO RD PERDIDO KEY, FL- 32507","$91,801.95","$97,582.00","$91,801.95",372S301000058001
2026-04-22T22:32:47,CLOSED,2025,05/20/2026 11:00 AM,,$0.00,,$0.00,3075208
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3074685
2026-04-22T22:32:47,CLOSED,2023,05/22/2026 11:00 AM,,$0.00,,$0.00,3074968
2026-04-22T22:32:47,CLOSED,2024,,,$0.00,,$0.00,3072172
2026-04-22T22:32:47,CLOSED,2025,05/26/2026 11:00 AM,,$0.00,,$0.00,3074086
2026-04-22T22:32:47,CLOSED,2025,05/26/2026 11:00 AM,,$0.00,,$0.00,3076636
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3073368
2026-04-22T22:32:47,CLOSED,2023,05/27/2026 11:00 AM,,$0.00,,$0.00,3061479
2026-04-22T22:32:47,CLOSED,2025,05/27/2026 11:00 AM,,$0.00,,$0.00,3069821
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3066994
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3069737
2026-04-22T22:32:47,CLOSED,2023,,,$0.00,,$0.00,3075282
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3064387
2026-04-22T22:32:47,CLOSED,2025,06/09/2026 11:00 AM,,$0.00,,$0.00,3072572
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3073948
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3065479
2026-04-22T22:32:47,CLOSED,2025,06/17/2026 11:00 AM,,$0.00,,$0.00,3066746
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3067252
2026-04-22T22:32:47,CLOSED,2025,06/19/2026 11:00 AM,,$0.00,,$0.00,3075955
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3075884
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3070628
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3063490
2026-04-22T22:32:47,CLOSED,2024,,,$0.00,,$0.00,3063444
2026-04-22T22:32:47,CLOSED,2021,07/21/2026 11:00 AM,,$0.00,,$0.00,3068307
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3075695
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3070798
2026-04-22T22:32:47,CLOSED,2025,,,$0.00,,$0.00,3074196
